"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Alcantara, Sandy","645261","2026","887","667",0.249,0.251,-0.0020000000000000018,0.391,0.377,0.014000000000000012,0.308,0.302,0.006000000000000005,"3.91","3.84","0.066"
"Sánchez, Cristopher","650911","2026","830","558",0.257,0.237,0.020000000000000018,0.372,0.365,0.007000000000000006,0.298,0.285,0.013000000000000012,"2.92","3.39","-0.465"
"Wacha, Michael","608379","2026","786","572",0.224,0.241,-0.016999999999999987,0.404,0.406,-0.0020000000000000018,0.3,0.307,-0.007000000000000006,"3.33","3.98","-0.646"
"Baz, Shane","669358","2026","769","546",0.262,0.255,0.007000000000000006,0.395,0.399,-0.0040000000000000036,0.315,0.317,-0.0020000000000000018,"4.11","4.27","-0.162"
"Rodriguez, Eduardo","593958","2026","761","558",0.236,0.25,-0.014000000000000012,0.372,0.413,-0.04099999999999998,0.298,0.318,-0.020000000000000018,"2.89","4.30","-1.409"
