"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Arraez, Luis","650333","581","16.1",39.2,"104.4","86.3","94","88.5","84","399","172","372","111",19.1,"7",1.2,1.1
"Hoerner, Nico","663538","562","11.8",36.5,"108.9","86","96.2","89","84.9","402","155","383","164",29.2,"8",1.4,1.2
"Lopez, Otto","672640","535","8.7",30.8,"112.8","89.1","100.3","92.5","86.8","427","149","398","219",40.9,"33",6.2,4.9
"Simpson, Chandler","802415","531","1.3",25.6,"106.8","83.6","92.6","84.3","84","355","108",,"72",13.6,"0",0,0
"Clement, Ernie","676391","524","17.4",31.9,"109.7","84.1","93.9","88.3","81.3","399","164","376","107",20.4,"11",2.1,1.8
